,,Data,Matéria,Estimado,Concluido,Estudado,Next
108,1,09/04/2020,Organização das matérias,,,,
107,2,10/04/2020,Noções de Direito Penal,,02:00,9. Crimes contra o patrimônio,
,,,Noções de Direito Processual Penal,,03:30,1. Inquérito policial; notitia criminis.,
106,3,11/04/2020,Noções de Direito Penal / Noções de Direito Processual Penal,,03:00,7. Estatuto do desarmamento (Lei nº 10.826/2003).,
105,4,12/04/2020,Noções de Direito Administrativo,,03:30,7. Princípios,
104,5,13/04/2020,Noções de Direito Constitucional,,06:00,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.",
103,6,14/04/2020,Raciocínio Lógico,,04:30,"1. Resolução de problemas envolvendo números reais, conjuntos, contagem e porcentagem.",
102,7,15/04/2020,Informática,,03:00,"2. Noções de uso de Internet e correio eletrônico, utilizando os navegadores Firefox e Google Chrome no sistema operacional (Ubuntu versão 14 ou superior).",
101,8,16/04/2020,Língua Portuguesa,,06:00,2..morfologia,
100,9,17/04/2020,Noções de Direito Constitucional,01:00,01:00,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.",
,,,Noções de Direito Administrativo,01:00,01:00,7. Princípios + 2. Organização administrativa da União: administração direta e indireta.,
,,,Noções de Direito Processual Penal,01:00,01:00,4. Prova (artigos 158 a 184 do CPP).,
,,,Noções de Direito Penal,01:00,0:0,,
99,10,18/04/2020,Noções de Legislação Penal Especial,01:00,01:30,1. Tráfico ilícito e uso indevido de drogas (Lei nº 11.343/2006).,
,,,Língua Portuguesa,01:30,02:00,2..morfologia,
,,,Informática,01:30,0:0,,
,,,Raciocínio Lógico,01:00,0:0,,
98,11,19/04/2020,Noções de Direito Administrativo,01:30,01:30,2. Organização administrativa da União: administração direta e indireta. + 4. Poderes administrativos: poder hierárquico; poder disciplinar; poder regulamentar; poder de polícia; uso e abuso do poder.,
,,,Noções de Direito Constitucional,01:30,01:30,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.",
,,,Noções de Direito Processual Penal,01:30,01:15,4. Prova (artigos 158 a 184 do CPP).,
,,,Noções de Direito Penal,01:30,01:15,9. Crimes contra o patrimônio,
97,12,20/04/2020,Raciocínio Lógico,01:30,01:00,1. contagem, 
,,,Língua Portuguesa,01:30,00:30,1.emprego das classes gramaticais,
,,,Informática,01:00,01:00,"2. Noções de uso de Internet e correio eletrônico, utilizando os navegadores Firefox e Google Chrome no sistema operacional (Ubuntu versão 14 ou superior).",correio eletronico(28)
,,,Noções de Legislação Penal Especial,01:00,,,
96,13,21/04/2020,Noções de Direito Administrativo,01:30,01:15,4. Poderes administrativos: poder hierárquico; poder disciplinar; poder regulamentar; poder de polícia; uso e abuso do poder.,(4)(poderes) - 33
,,,Noções de Direito Constitucional,01:00,01:00,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.", 
,,,Noções de Direito Processual Penal,01:00,01:30,5. Prisão em flagrante.,
,,,Noções de Direito Penal,01:00,01:00,10. Crimes praticados por funcionário publico contra a administração em geral,
95,14,22/04/2020,Língua Portuguesa,01:30,01:30,1.emprego das classes gramaticais,
,,,Informática,01:30,01:30,"2. Noções de uso de Internet e correio eletrônico, utilizando os navegadores Firefox e Google Chrome no sistema operacional (Ubuntu versão 14 ou superior).",
,,,Noções de Legislação Penal Especial,01:00,00:30,1. Tráfico ilícito e uso indevido de drogas (Lei nº 11.343/2006).,
,,,Raciocínio Lógico,01:00,0:0,,
94,15,23/04/2020,Noções de Direito Administrativo,01:30,01:30,4. Poderes administrativos: poder hierárquico; poder disciplinar; poder regulamentar; poder de polícia; uso e abuso do poder.,
,,,Noções de Direito Constitucional,01:30,01:30,3. Poder Executivo: forma e sistema de governo; chefia de Estado e chefia de governo; atribuições e responsabilidades do presidente da República.,
,,,Noções de Direito Processual Penal,01:30,01:30,6. Prisão preventiva. + 7. Prisão temporária (Lei n.º 7.960/1989).,
,,,Noções de Direito Penal,01:00,01:00,11. Crimes praticados por particular contra a administração em geral,
93,16,24/04/2020,Língua Portuguesa,01:30,00:30,1.emprego das classes gramaticais,
92,17,25/04/2020,Língua Portuguesa,01:30,01:30,1.emprego das classes gramaticais,
,,,Informática,01:30,01:30,"1. Conceitos básicos de operação com arquivos no sistema operacional Linux (Ubuntu versão 14 ou superior). + 7. Noções, como usuário, do sistema operacional Linux (Ubuntu versão 14 ou superior).",linux 46
,,,Noções de Legislação Penal Especial,01:00,01:00,1. Tráfico ilícito e uso indevido de drogas (Lei nº 11.343/2006).,
,,,Raciocínio Lógico,01:00,,,
91,18,26/04/2020,Noções de Direito Administrativo,01:30,01:30,2. Organização administrativa da União: administração direta e indireta.,37-Curso Estratégia (2)(Organização administrativa)
,,,Noções de Direito Constitucional,01:30,01:30,"2. Poder Legislativo: fundamento, atribuições e garantias de independência.",23-Curso Estratégia (8)(poder legistlativo)
,,,Noções de Direito Processual Penal,01:00,01:00,Resumo de prisões + prova,
,,,Noções de Direito Penal,01:00,0:0,,
90,19,27/04/2020,Língua Portuguesa,01:30,01:30,1.emprego das classes gramaticais,27:00:00
,,,Informática,01:30,01:30,"1. Conceitos básicos de operação com arquivos no sistema operacional Linux (Ubuntu versão 14 ou superior). + 7. Noções, como usuário, do sistema operacional Linux (Ubuntu versão 14 ou superior)",
,,,Noções de Legislação Penal Especial,01:30,01:30,Resumo de Estatudo do desarmamento,
,,,Raciocínio Lógico,01:30,01:30,,
89,20,28/04/2020,Noções de Direito Administrativo,01:30,01:30,2. Organização administrativa da União: administração direta e indireta.,23-Curso Estratégia (3)(Organização administrativa)
,,,Noções de Direito Constitucional,01:30,01:30,"2. Poder Legislativo: fundamento, atribuições e garantias de independência. + 1. Estado, governo e administração pública: conceitos, elementos, poderes e organização; natureza, fins e princípios.",36-Curso Estratégia (0)
,,,Noções de Direito Processual Penal,01:00,01:00,Resumo de Inquérito policial ,
,,,Noções de Direito Penal,01:00,01:00,12. Crimes contra a administração da Justiça,
88,21,29/04/2020,Língua Portuguesa,01:30,01:30,1.emprego das classes gramaticais,
,,,Informática,01:30,01:30,4. Noções de escrita e editoração de texto utilizando LibreOffice-Writer (versão 5.0.6 ou superior).,
,,,Noções de Legislação Penal Especial,01:00,0:0,,
,,,Raciocínio Lógico,01:00,01:00,3. Semelhança e relações métricas no triângulo retângulo.,
87,22,30/04/2020,Noções de Direito Administrativo,01:30,01:30,2. Organização administrativa da União: administração direta e indireta.,
,,,Noções de Direito Constitucional,01:30,01:30,Constituição,
,,,Noções de Direito Processual Penal,01:00,01:00,2. Ação penal: espécies.,
,,,Noções de Direito Penal,0:0,0:0,12. Crimes contra a administração da Justiça,
86,23,01/05/2020,Língua Portuguesa,01:30,01:30,Exercícios,
85,24,02/05/2020,Língua Portuguesa,01:30,01:30,1.emprego das classes gramaticais,
,,,Noções de Legislação Penal Especial,01:30,01:30,2. Crimes hediondos (Lei nº 8.072/1990). + 5. Crimes de tortura (Lei nº 9.455/1997). + 3. Crimes resultantes de preconceitos de raça ou de cor (Lei nº 7.716/1989).,
84,25,03/05/2020,Noções de Direito Administrativo,01:30,01:30,"Post it dos poderes + 1. Estado, governo e administração pública: conceitos, elementos, poderes e organização; natureza, fins e princípios.",
83,26,04/05/2020,Noções de Direito Constitucional,01:30,01:30,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.", 39-Curso Estratégia (1)(direitos e deveres)
,,,Noções de Direito Processual Penal,01:30,01:30,3. Jurisdição; competência.,2 ª aula - Competência em Razão do Lugar
,,,Noções de Direito Penal,01:30,01:30,12. Crimes contra a admnistração publica estrangeira. Crimes contra a administração da Justiça. Crimes contra as finanças públicas,
,,,Noções de Legislação Penal Especial,01:30,01:00,14. Pacote Anti-Crime.,
82,27,05/05/2020,Língua Portuguesa,01:30,01:45,1.emprego das classes gramaticais,
,,,Informática,01:30,01:30,4. Noções de escrita e editoração de texto utilizando LibreOffice-Writer (versão 5.0.6 ou superior).,
,,,Raciocínio Lógico,01:30,01:30,"6. Problemas de raciocínio lógico-matemático envolvendo proposições, conectivos, equivalência e implicação lógica",
,,,Noções de Legislação Penal Especial,01:30,00:45,14. Pacote Anti-Crime.,
,,,Redação,0:0,00:45,,
81,28,06/05/2020,Noções de Direito Administrativo,01:30,01:30,"Mapa dos princípios + 3. Agentes públicos: espécies e classificação; poderes, deveres e prerrogativas; cargo, emprego e função públicos;regime jurídico único: provimento, vacância, remoção, redistribuição e substituição; direitos e vantagens; regimedisciplinar; responsabilidade civil, criminal e administrativa.",
,,,Noções de Direito Constitucional,01:30,01:30,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.",29-Curso Estratégia (2)(direitos e deveres
,,,Noções de Direito Processual Penal,01:30,01:15,3. Jurisdição; competência.,
,,,Noções de Direito Penal,01:30,00:30,Revisão teoria do erro,
80,29,07/05/2020,Língua Portuguesa,01:30,01:30,Pontuação,
,,,Informática,01:30,01:30,5. Noções de cálculo e organização de dados em planilhas eletrônicas utilizando o LibreOffice-Calc (versão 5.0.6 ou superior).,
,,,Noções de Legislação Penal Especial,01:30,02:15,Interceptação telefônica,
,,,Raciocínio Lógico,01:30,00:45,"6. Problemas de raciocínio lógico-matemático envolvendo proposições, conectivos, equivalência e implicação lógica",
79,30,08/05/2020,Noções de Direito Administrativo,01:30,01:30,"3. Agentes públicos: espécies e classificação; poderes, deveres e prerrogativas; cargo, emprego e função públicos;regime jurídico único: provimento, vacância, remoção, redistribuição e substituição; direitos e vantagens; regimedisciplinar; responsabilidade civil, criminal e administrativa.",
,,,Noções de Direito Constitucional,01:30,01:30,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.",
78,31,09/05/2020,Noções de Direito Penal,0:0,00:30,Revisão,
,,,Língua Portuguesa,01:30,01:30,Verbos,
,,,Informática,01:00,01:00,5. Noções de cálculo e organização de dados em planilhas eletrônicas utilizando o LibreOffice-Calc (versão 5.0.6 ou superior).,
,,,Noções de Legislação Penal Especial,01:00,01:00,Pacote anti crime,
,,,Raciocínio Lógico,01:00,01:00,"6. Problemas de raciocínio lógico-matemático envolvendo proposições, conectivos, equivalência e implicação lógica",
77,32,10/05/2020,Noções de Direito Administrativo,00:45,00:45,Mapas,
,,,Noções de Direito Constitucional,00:45,00:45,Mapas,
,,,Noções de Direito Processual Penal,01:00,01:00,Mapas,
,,,Noções de Direito Penal,01:00,00:45,Mapas,
,,,Noções de Direito Administrativo,00:45,01:00,"5. Serviços públicos: conceito, classificação, regulamentação e controle; forma, meios e requisitos; delegação: concessão, permissão, autorização.",
,,,Noções de Direito Constitucional,00:45,00:45,Mapas,28-Curso Estratégia (2)(direitos e deveres
76,33,11/05/2020,Informática,00:45,00:45,5. Noções de cálculo e organização de dados em planilhas eletrônicas utilizando o LibreOffice-Calc (versão 5.0.6 ou superior).,
,,,Língua Portuguesa,00:45,00:45,,
,,,Informática,00:45,00:45,,
,,,Língua Portuguesa,00:45,00:45,,
,,,Raciocínio Lógico,01:30,01:15,"6. Problemas de raciocínio lógico-matemático envolvendo proposições, conectivos, equivalência e implicação lógica",
,,,Noções de Legislação Penal Especial,01:30,02:15,Crimes de tortura,
75,34,12/05/2020,Noções de Direito Administrativo,00:45,00:45,,
,,,Noções de Direito Constitucional,01:30,01:30,Mapas,
,,,Noções de Direito Administrativo,00:45,00:45,"5. Serviços públicos: conceito, classificação, regulamentação e controle; forma, meios e requisitos; delegação: concessão, permissão, autorização.",
,,,Redação,0:0,01:45,,
,,,Noções de Direito Penal,01:00,01:00,Mapas,
74,35,13/05/2020,Informática,00:45,00:45,4. Noções de escrita e editoração de texto utilizando LibreOffice-Writer (versão 5.0.6 ou superior).,
,,,Língua Portuguesa,00:45,01:30,Verbo,7 encontro
,,,Noções de Direito Constitucional,01:30,01:45,Revisão de direitos,
,,,Noções de Legislação Penal Especial,01:30,00:45,Estatudo do desarmamento,
73,36,14/05/2020,Noções de Direito Penal,01:30,01:30,,
,,,Noções de Direito Administrativo,00:45,00:45,,
,,,Noções de Direito Constitucional,00:45,00:45,,
,,,Noções de Direito Administrativo,00:45,00:45,2. Organização administrativa da União: administração direta e indireta.,1 encontro - 19:00 - Bloco 4-AlfaCon--orgaos-publicos.pdf
,,,Noções de Direito Constitucional,00:45,00:45,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.",Aula2_Video2_DC
,,,Noções de Direito Processual Penal,01:00,01:00,Revisão Inquerito policial,
72,37,15/05/2020,Língua Portuguesa,01:30,01:30,,
,,,Noções de Direito Constitucional,01:30,00:45,,
,,,Noções de Direito Processual Penal,01:30,01:30,,
71,38,16/05/2020,Noções de Direito Administrativo,00:45,00:45,,
,,,Noções de Direito Constitucional,00:45,00:45,,
,,,Noções de Direito Administrativo,00:45,00:45,Revisão de organização administrativa do estado + princípios,Revisão de agentes publicos + estatuto policia civil
,,,Noções de Direito Constitucional,00:45,00:45,"1. Direitos e deveres fundamentais: direitos e deveres individuais e coletivos; direito à vida, à liberdade, à igualdade, à segurança e à propriedade; direitos sociais; nacionalidade; cidadania e direitos políticos; partidos políticos; garantias constitucionais individuais; garantias dos direitos coletivos, sociais e políticos.",PDF Aula2_DC(direitos sociais e nacionalidade) 
,,,Noções de Direito Processual Penal,01:00,01:00,Revisão de Prisão cautelar,4. Prova (artigos 158 a 184 do CPP).
,,,Noções de Direito Penal,01:00,01:00,Mapas dos crimes contra a pessoa,Mapas dos crimes contra o patrimônio
70,39,17/05/2020,Noções de Legislação Penal Especial,02:00,02:00,4. Abuso de Autoridade (Lei nº 13.869/2019).,13.  investigação criminal conduzida pelo delegado de polícia. (Lei nº 12.830/2013;)
,,,Língua Portuguesa,01:30,01:30,Conjunções,Verbo
,,,Informática,01:30,01:30,Revisão de email,Ler PDF Intranet web
,,,Raciocínio Lógico,01:00,01:00,Preparação turbo,Preparação turbo
69,40,18/05/2020,Noções de Direito Administrativo,01:30,01:30,"3. Agentes públicos: espécies e classificação; poderes, deveres e prerrogativas; cargo, emprego e função públicos;regime jurídico único: provimento, vacância, remoção, redistribuição e substituição; direitos e vantagens; regimedisciplinar; responsabilidade civil, criminal e administrativa.",4 encontro aula 1
